id;cidade;regiao;lugar;categoria;perfil;descricao;maps;site;tipoLink
1;João Pessoa;Centro da cidade;Centro Histórico de João Pessoa;Ponto turístico;Centro histórico;Conjunto histórico para caminhar e conhecer a arquitetura colonial.;https://www.google.com/maps/search/?api=1&query=Centro Histórico de João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/;Turismo oficial
2;João Pessoa;Centro da cidade;Casa da Pólvora;Ponto turístico;História/cultura;Monumento histórico na Ladeira São Francisco.;https://www.google.com/maps/search/?api=1&query=Casa da Pólvora João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/;Turismo oficial
3;João Pessoa;Centro da cidade;Hotel Globo;Ponto turístico;História/pôr do sol;Galeria histórica com vista para o Rio Sanhauá e pôr do sol.;https://www.google.com/maps/search/?api=1&query=Hotel Globo João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/hotel-globo/;Turismo oficial
4;João Pessoa;Centro da cidade;Igreja de São Francisco / Centro Cultural São Francisco;Ponto turístico;História/arte;Complexo barroco do Centro Histórico.;https://www.google.com/maps/search/?api=1&query=Igreja de São Francisco João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/;Turismo oficial
5;João Pessoa;Centro da cidade;Basílica Nossa Senhora das Neves;Ponto turístico;História/religião;Uma das igrejas históricas mais antigas da capital.;https://www.google.com/maps/search/?api=1&query=Basílica Nossa Senhora das Neves João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/;Turismo oficial
6;João Pessoa;Centro da cidade;Mosteiro de São Bento;Ponto turístico;História/arquitetura;Conjunto histórico no Centro da cidade.;https://www.google.com/maps/search/?api=1&query=Mosteiro de São Bento João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/;Turismo oficial
7;João Pessoa;Centro da cidade;Vila do Porto;Bar/Restaurante;Vida Diurna e noturna;Comida cervejas com samba, jazz e pagode ao vivo, em casarão antigo com estilo rústico e vista panorâmica.;https://share.google/0rG5b3DwEV9BnJ838;https://instagram.com/vila_do_porto;
8;João Pessoa;Centro da cidade;Bistrô 17;Restaurante;Comida regional;Restaurante de culinária regional, com ambiente aconchegante e música ao vivo à noite.;https://share.google/anQnDJYPpRXP17AdN;https://www.instagram.com/bistro17real/;Instagram
9;João Pessoa;Centro da cidade;General Store;Bar/Restaurante;Vida noturna;Bar, galeria de lojas, cafeteria e eventos, com vista panorâmica para o pôr do sol.;https://share.google/R2OrnL6b7bEfdOOB7;https://www.instagram.com/generalstorejp/;Instagram
10;João Pessoa;Centro da cidade;Loca Como Tu Madre -  Centro;Bar/Restaurante;Vida Diurna e noturna;Bar e restaurante com ambiente descontraído e opções de gastronomia e drinks.;https://share.google/3DOa0C9LcaDrDdk8d;https://www.instagram.com/loca.gastrobar/;Instagram
11;João Pessoa;Centro da cidade;Caravela Cultural;Bar;Vida noturna;Bar e espaço cultural com lojas, cafeteria, música e eventos.;https://share.google/bokJAXdfUbE3XGSva;https://www.instagram.com/caravelacultural/;Instagram
12;João Pessoa;Centro da cidade;Sabadinho Bom;Evento aos sábados;Vida Diurna;Projeto cultural gratuito com apresentações musicais aos sábados na Praça Rio Branco.;https://www.google.com/maps/search/?api=1&query=Sabadinho+Bom+Praça+Rio+Branco+João+Pessoa+PB;https://www.joaopessoa.pb.gov.br/noticias/sabadinho-bom-e-samba-na-praca-fortalecem-a-cena-musical-e-ocupacao-no-centro-historico/;Prefeitura de João Pessoa / Funjope
13;João Pessoa;Zona litorânea;Praia de Tambaú;Praia;Praia urbana;Orla movimentada, com comércio, bares, restaurantes e acesso a passeios marítimos.;https://www.google.com/maps/search/?api=1&query=Praia de Tambaú João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/praia-de-tambau/;Turismo oficial
14;João Pessoa;Zona litorânea;Praia do Cabo Branco;Praia;Praia urbana;Orla extensa, restaurantes e acesso à área do Farol do Cabo Branco.;https://www.google.com/maps/search/?api=1&query=Praia do Cabo Branco João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/praia-do-cabo-branco/;Turismo oficial
15;João Pessoa;Zona litorânea;Praia do Bessa / Caribessa;Praia;Praia urbana;Trecho de mar mais tranquilo, com bares e restaurantes na região.;https://www.google.com/maps/search/?api=1&query=Caribessa João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/praia-do-bessa/;Turismo oficial
16;João Pessoa;Zona litorânea;Praia de Manaíra;Praia;Praia urbana;Boa combinação de orla, hotéis, comércio e gastronomia.;https://www.google.com/maps/search/?api=1&query=Praia de Manaíra João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/praia-de-manaira/;Turismo oficial
17;João Pessoa;Zona litorânea;Praia do Seixas / Ponta do Seixas;Praia;Natureza;Área do extremo oriental das Américas e ponto de saída para piscinas naturais.;https://www.google.com/maps/search/?api=1&query=Ponta do Seixas João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/praia-do-seixas/;Turismo oficial
18;João Pessoa;Zona litorânea;Piscinas Naturais do Seixas;Passeio;Piscinas naturais;Passeio marítimo dependente das condições do mar e da maré.;https://www.google.com/maps/search/?api=1&query=Piscinas Naturais do Seixas João Pessoa PB;https://www.pontadoseixas.com.br/;Operador/site
19;João Pessoa;Zona litorânea;Estação Cabo Branco – Ciência, Cultura e Artes;Ponto turístico;Cultura/arquitetura;Centro cultural e científico próximo ao litoral do Cabo Branco.;https://www.google.com/maps/search/?api=1&query=Estação Cabo Branco João Pessoa PB;https://www.instagram.com/estacaocabobranco/;Instagram/site
20;João Pessoa;Zona litorânea;Bosque dos Sonhos;Ponto turístico;Mirante/paisagem;Espaço com restaurante, piscina, mirante e lojas de lembranças regionais.;https://maps.app.goo.gl/mWE1wyi2ybez4uwXA;https://www.instagram.com/bosquedossonhosjp;Instagram
21;João Pessoa;Zona litorânea;Farol do Cabo Branco;Ponto turístico;Mirante/paisagem;Cartão-postal próximo à barreira do Cabo Branco.;https://www.google.com/maps/search/?api=1&query=Farol do Cabo Branco João Pessoa PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/monumentos-historicos/farol-do-cabo-branco/;Turismo oficial
22;João Pessoa;Zona litorânea;Bar do Cuscuz Praia;Bar/Restaurante;Gastronomia;Restaurante/bar conhecido na orla de Cabo Branco.;https://www.google.com/maps/search/?api=1&query=Bar do Cuscuz Praia João Pessoa PB;https://www.instagram.com/bardocuscuzjp/;Instagram
23;João Pessoa;Zona litorânea;NAU Frutos do Mar JP Praia;Restaurante;Frutos do mar;Restaurante de frutos do mar na região de Manaíra.;https://www.google.com/maps/search/?api=1&query=NAU Frutos do Mar JP Praia João Pessoa PB;https://www.instagram.com/naurestaurante/;Instagram/site
24;João Pessoa;Zona litorânea;Mangai JP Praia;Restaurante;Comida regional;Restaurante de culinária regional paraibana em Manaíra.;https://www.google.com/maps/search/?api=1&query=Mangai JP Praia João Pessoa PB;https://www.instagram.com/mangairestaurantes/;Instagram/site
25;João Pessoa;Zona litorânea;Skybar Tour Genève;Bar;Drinks/vista;Bar em rooftop no Altiplano, com vista panorâmica.;https://www.google.com/maps/search/?api=1&query=Skybar Tour Genève João Pessoa PB;https://www.instagram.com/skybarjpa/;Instagram
26;João Pessoa;Zona litorânea;Emporio café Tambaú;Bar;Vida noturna;Bar e café na região de Tambaú, voltado para noite e drinks.;https://www.google.com/maps/place/Empório+Café/@-7.1115473,-34.8234766,1078m/data=!3m2!1e3!4b1!4m6!3m5!1s0x7acdd216214bd4f:0x60ea64a01ea686bf!8m2!3d-7.1115473!4d-34.8234766!16s%2Fg%2F11b6g86y9d?entry=ttu&g_ep=EgoyMDI2MDkxNS4wIKXMDSoASAFQAw%3D%3D;https://www.instagram.com/emporiocafe/;Instagram
27;João Pessoa;Zona litorânea;Paralelo Pub;Bar;Vida noturna;Pub na região de Manaíra.;https://www.google.com/maps/search/?api=1&query=Paralelo Pub João Pessoa PB;https://www.instagram.com/paralelopub/;Instagram
28;João Pessoa;Zona litorânea;"Rua ""secreta"" ou Rua Gastronômica de João Pessoa";Bar/ Restaurante;Vida noturna;Rua gastronômica com bares, restaurantes, pizzarias, hamburguerias, padarias, cafeterias e docerias.;https://share.google/wV4LS0ss6NCvR0JlR;https://www.joaopessoa.pb.gov.br/noticias/prefeito-autoriza-obras-para-transformar-rua-do-bairro-miramar-em-espaco-de-fomento-da-economia-criativa/;Prefeitura de João Pessoa
29;João Pessoa;Zona litorânea;Quiosque O Tubarão — Cabo Branco;Restaurante;Vida Diurna e noturna;Quiosque à beira-mar com frutos do mar, petiscos, bebidas e música ao vivo.;https://www.google.com/maps/search/?api=1&query=Quiosque+O+Tubarão+Cabo+Branco+João+Pessoa+PB;https://www.instagram.com/quiosque.tubarao/;Instagram
30;João Pessoa;Zona litorânea;Parque Cabo Branco — Food Trucks;Restaurante;Vida noturna;Espaço gastronômico à beira-mar com food trucks e diferentes opções de comida.;https://www.google.com/maps/search/?api=1&query=Parque+Cabo+Branco+João+Pessoa+PB;https://www.instagram.com/parquecabobranco/;Instagram
